"indicateur","region","Unit","Date","Value"
"Volume de production du riz paddy","ADAMAOUA","tonne","2013","998.05"
"Volume de production du riz paddy","ADAMAOUA","tonne","2014","1166.675"
"Volume de production du riz paddy","ADAMAOUA","tonne","2015","1072"
"Volume de production du riz paddy","ADAMAOUA","tonne","2016","1281.5"
"Volume de production du riz paddy","ADAMAOUA","tonne","2017","1397"
"Volume de production du riz paddy","ADAMAOUA","tonne","2018","2086"
"Volume de production du riz paddy","ADAMAOUA","tonne","2019","2398"
"Volume de production du riz paddy","ADAMAOUA","tonne","2020","1896.4"
"Volume de production du riz paddy","CENTRE","tonne","2013","9954"
"Volume de production du riz paddy","CENTRE","tonne","2014","10256"
"Volume de production du riz paddy","CENTRE","tonne","2015","10524"
"Volume de production du riz paddy","CENTRE","tonne","2016","10741.5"
"Volume de production du riz paddy","CENTRE","tonne","2017","10658"
"Volume de production du riz paddy","CENTRE","tonne","2018","10520"
"Volume de production du riz paddy","CENTRE","tonne","2019","10126"
"Volume de production du riz paddy","CENTRE","tonne","2020","10996"
"Volume de production du riz paddy","EST","tonne","2013","269"
"Volume de production du riz paddy","EST","tonne","2014","285"
"Volume de production du riz paddy","EST","tonne","2015","358"
"Volume de production du riz paddy","EST","tonne","2016","736.2"
"Volume de production du riz paddy","EST","tonne","2017","800.9"
"Volume de production du riz paddy","EST","tonne","2018","825"
"Volume de production du riz paddy","EST","tonne","2019","873.7"
"Volume de production du riz paddy","EST","tonne","2020","925.2"
"Volume de production du riz paddy","EXTREME-NORD","tonne","2013","91852"
"Volume de production du riz paddy","EXTREME-NORD","tonne","2014","42094"
"Volume de production du riz paddy","EXTREME-NORD","tonne","2015","153844.5"
"Volume de production du riz paddy","EXTREME-NORD","tonne","2016","129401.3"
"Volume de production du riz paddy","EXTREME-NORD","tonne","2017","127062"
"Volume de production du riz paddy","EXTREME-NORD","tonne","2018","115617.6"
"Volume de production du riz paddy","EXTREME-NORD","tonne","2019","138361"
"Volume de production du riz paddy","EXTREME-NORD","tonne","2020","117960"
"Volume de production du riz paddy","LITTORAL","tonne","2013","19"
"Volume de production du riz paddy","LITTORAL","tonne","2014","20"
"Volume de production du riz paddy","LITTORAL","tonne","2015","25"
"Volume de production du riz paddy","LITTORAL","tonne","2016","52.7"
