"indicateur","region","Unit","Date","Value"
"beaf meat production","ADAMAWA","tonne","2019","9661.68"
"beaf meat production","ADAMAWA","tonne","2020","8627.31"
"beaf meat production","ADAMAWA","tonne","2021","9574.524"
"beaf meat production","ADAMAWA","tonne","2022","9125.298"
"beaf meat production","CENTRE","tonne","2019","18064.12455"
"beaf meat production","CENTRE","tonne","2020","23694.1038"
"beaf meat production","CENTRE","tonne","2021","31209.2514"
"beaf meat production","CENTRE","tonne","2022","31240.0584"
"beaf meat production","EAST","tonne","2019","6747.2649"
"beaf meat production","EAST","tonne","2020","5819.8203"
"beaf meat production","EAST","tonne","2021","6766.4349"
"beaf meat production","EAST","tonne","2022","6789.2472"
"beaf meat production","FAR NORTH","tonne","2019","12517.8291"
"beaf meat production","FAR NORTH","tonne","2020","12304.49535"
"beaf meat production","FAR NORTH","tonne","2021","13467.2139"
"beaf meat production","FAR NORTH","tonne","2022","18191.31615"
"beaf meat production","NORTH","tonne","2019","10384.1757"
"beaf meat production","NORTH","tonne","2020","9731.9043"
"beaf meat production","NORTH","tonne","2021","9775.62675"
"beaf meat production","NORTH","tonne","2022","9162.01125"
"beaf meat production","LITTORAL","tonne","2019","26275.68855"
"beaf meat production","LITTORAL","tonne","2020","25564.14135"
"beaf meat production","LITTORAL","tonne","2021","29157.55245"
"beaf meat production","LITTORAL","tonne","2022","26772.4521"
"beaf meat production","NORTH WEST","tonne","2019","11321.208"
"beaf meat production","NORTH WEST","tonne","2020","11281.032"
"beaf meat production","NORTH WEST","tonne","2021","11258.676"
"beaf meat production","NORTH WEST","tonne","2022","11001.096"
"beaf meat production","WEST","tonne","2019","6129.7236"
"beaf meat production","WEST","tonne","2020","6459.7176"
"beaf meat production","WEST","tonne","2021","6305.7204"
"beaf meat production","WEST","tonne","2022","6226.3404"
"beaf meat production","SOUTH WEST","tonne","2019","2859.84"
"beaf meat production","SOUTH WEST","tonne","2020","4331.664"
"beaf meat production","SOUTH WEST","tonne","2021","4795.632"
