"indicateur","region","Unit","Date","Value"
"Total halieutic production","Adamawa","tonne","2019","881.091"
"Total halieutic production","Adamawa","tonne","2020","1364.232"
"Total halieutic production","Adamawa","tonne","2021","1530.259"
"Total halieutic production","Adamawa","tonne","2022","1747.9565"
"Total halieutic production","Centre","tonne","2019","1053.076"
"Total halieutic production","Centre","tonne","2020","1742.2"
"Total halieutic production","Centre","tonne","2021","1358.13"
"Total halieutic production","Centre","tonne","2022","1805.579"
"Total halieutic production","East","tonne","2019","3420.6005952"
"Total halieutic production","East","tonne","2020","2437.677"
"Total halieutic production","East","tonne","2021","2634.612"
"Total halieutic production","East","tonne","2022","2654.597"
"Total halieutic production","Far North","tonne","2019","933.178"
"Total halieutic production","Far North","tonne","2020","1450.162"
"Total halieutic production","Far North","tonne","2021","1480.632"
"Total halieutic production","Far North","tonne","2022","2741.084"
"Total halieutic production","Littoral","tonne","2019","90104.607434788"
"Total halieutic production","Littoral","tonne","2020","62256.3553849117"
"Total halieutic production","Littoral","tonne","2021","72257.1352258022"
"Total halieutic production","Littoral","tonne","2022","74957.2778909789"
"Total halieutic production","North","tonne","2019","22450.111"
"Total halieutic production","North","tonne","2020","9586.024"
"Total halieutic production","North","tonne","2021","8232.368"
"Total halieutic production","North","tonne","2022","8652.525"
"Total halieutic production","North-West","tonne","2019","21677"
"Total halieutic production","North-West","tonne","2020","12334"
"Total halieutic production","North-West","tonne","2021","8410"
"Total halieutic production","North-West","tonne","2022","8076"
"Total halieutic production","West","tonne","2019","2428.153"
"Total halieutic production","West","tonne","2020","1487.12"
"Total halieutic production","West","tonne","2021","2775.241"
"Total halieutic production","West","tonne","2022","2016.707"
"Total halieutic production","South","tonne","2019","25807.1649621645"
"Total halieutic production","South","tonne","2020","26295.8484070586"
"Total halieutic production","South","tonne","2021","28011.4509050351"
"Total halieutic production","South","tonne","2022","29441.8879090822"
"Total halieutic production","South-West","tonne","2019","166403.735581818"
"Total halieutic production","South-West","tonne","2020","95829.7262213465"
"Total halieutic production","South-West","tonne","2021","96730.2373885021"
"Total halieutic production","South-West","tonne","2022","101269.725096942"
"Smal scale fishing production","Adamawa","tonne","2019","0"
"Smal scale fishing production","Adamawa","tonne","2020","0"
"Smal scale fishing production","Adamawa","tonne","2021","0"
"Smal scale fishing production","Adamawa","tonne","2022","0"
"Smal scale fishing production","Centre","tonne","2019","0"
"Smal scale fishing production","Centre","tonne","2020","0"
"Smal scale fishing production","Centre","tonne","2021","0"
"Smal scale fishing production","Centre","tonne","2022","0"
"Smal scale fishing production","East","tonne","2019","0"
"Smal scale fishing production","East","tonne","2020","0"
"Smal scale fishing production","East","tonne","2021","0"
"Smal scale fishing production","East","tonne","2022","0"
"Smal scale fishing production","Far North","tonne","2019","0"
"Smal scale fishing production","Far North","tonne","2020","0"
"Smal scale fishing production","Far North","tonne","2021","0"
"Smal scale fishing production","Far North","tonne","2022","0"
"Smal scale fishing production","Littoral","tonne","2019","75852.6597681213"
"Smal scale fishing production","Littoral","tonne","2020","51210"
"Smal scale fishing production","Littoral","tonne","2021","58940"
"Smal scale fishing production","Littoral","tonne","2022","59393"
"Smal scale fishing production","North","tonne","2019","0"
"Smal scale fishing production","North","tonne","2020","0"
"Smal scale fishing production","North","tonne","2021","0"
"Smal scale fishing production","North","tonne","2022","0"
"Smal scale fishing production","North-West","tonne","2019","0"
"Smal scale fishing production","North-West","tonne","2020","0"
"Smal scale fishing production","North-West","tonne","2021","0"
